cell_mean_mito_area_(pixels_squared),cell_median_mito_area_(pixels_squared),cell_std_mito_area_(pixels_squared),cell_mean_mito_eccentricity,cell_median_mito_eccentricity,cell_std_mito_eccentricity,cell_mean_mito_equi_diameter_(pixels),cell_median_mito_equi_diameter_(pixels),cell_std_mito_equi_diameter_(pixels),cell_mean_mito_euler_number,cell_std_mito_euler_number,cell_mean_mito_extent,cell_median_mito_extent,cell_std_mito_extent,cell_mean_mito_major_axis_(pixels),cell_median_mito_major_axis_(pixels),cell_std_mito_major_axis_(pixels),cell_mean_mito_minor_axis_(pixels),cell_median_mito_minor_axis_(pixels),cell_std_mito_minor_axis_(pixels),cell_mean_mito_orientation_(degrees),cell_median_mito_orientation_(degrees),cell_std_mito_orientation_(degrees),cell_mean_mito_perimeter_(pixels),cell_median_mito_perimeter_(pixels),cell_std_mito_perimeter_(pixels),cell_mean_mito_solidity,cell_median_mito_solidity,cell_std_mito_solidity,cell_mean_mito_centroid_x_(pixels),cell_median_mito_centroid_x_(pixels),cell_std_mito_centroid_x_(pixels),cell_mean_mito_centroid_y_(pixels),cell_median_mito_centroid_y_(pixels),cell_std_mito_centroid_y_(pixels),cell_mean_mito_distance_(pixels),cell_median_mito_distance_(pixels),cell_std_mito_distance_(pixels),cell_mean_mito_weighted_cent_x_(pixels),cell_median_mito_weighted_cent_x_(pixels),cell_std_mito_weighted_cent_x_(pixels),cell_mean_mito_weighted_cent_y_(pixels),cell_median_mito_weighted_cent_y_(pixels),cell_std_mito_weighted_cent_y_(pixels),cell_mean_mito_weighted_distance_(pixels),cell_median_mito_weighted_distance_(pixels),cell_std_mito_weighted_distance_(pixels),cell_mean_mito_form_factor,cell_median_mito_form_factor,cell_std_mito_form_factor,cell_mean_mito_roundness,cell_median_mito_roundness,cell_std_mito_roundness,cell_mean_mito_branch_count,cell_std_mito_branch_count,cell_mean_mito_mean_branch_length_(pixels),cell_median_mito_mean_branch_length_(pixels),cell_std_mito_mean_branch_length_(pixels),cell_mean_mito_total_branch_length_(pixels),cell_median_mito_total_branch_length_(pixels),cell_std_mito_total_branch_length_(pixels),cell_mean_mito_median_branch_length_(pixels),cell_median_mito_median_branch_length_(pixels),cell_std_mito_median_branch_length_(pixels),cell_mean_mito_std_branch_length_(pixels),cell_std_mito_std_branch_length_(degrees),cell_mean_mito_mean_branch_angle_(degrees),cell_median_mito_mean_branch_angle_(degrees),cell_std_mito_mean_branch_angle_(degrees),cell_mean_mito_median_branch_angle_(degrees),cell_median_mito_median_branch_angle_(degrees),cell_std_mito_median_branch_angle_(degrees),cell_mean_mito_std_branch_angle_(degrees),cell_std_mito_std_branch_angle_(degrees),cell_mean_mito_total_density_(pixels),cell_median_mito_total_density_(pixels),cell_std_mito_total_density,cell_mean_mito_average_density_(pixels),cell_median_mito_average_density_(pixels),cell_std_mito_average_density_(pixels),cell_mean_mito_median_density_(pixels),cell_median_mito_median_density,cell_std_mito_median_density_(pixels),cell_kurtosis_x,cell_weighted_kurtosis_x,cell_kurtosis_y,cell_weighted_kurtosis_y,cell_kurtosis_squared,cell_weighted_kurtosis_squared,cell_skewness_x,cell_weighted_skewness_x,cell_skewness_y,cell_weighted_skewness_y,cell_skewness_squared,cell_weighted_skewness_squared,cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,label_mmp,label_atp,label_ros,label_respiration,label_mitophagy
2476.714286,631,3037.006454,0.832339717,0.832054965,0.11910366,46.35851021,28.34198898,31.69130954,0.642857143,0.894997435,0.493238907,0.432276732,0.206811876,90.07973076,61.13399318,71.13480621,40.70897638,20.04200634,33.96797911,0.22857431,0.271815884,0.595092295,373.9780043,128.3380951,414.1902796,0.78075168,0.906281411,0.202487362,345.5724462,380.7276044,112.2138368,226.4360744,152.0265298,175.9731926,439.4252993,443.1898951,145.4562732,20.5348223,7.061660033,26.82290343,19.02864641,3.83154525,35.10839165,29.40759261,7.401918044,43.25539412,4.655679519,2.182671985,4.562538677,0.402290526,0.28593406,0.22172051,4.642857143,5.366658216,37.34873513,34.92280458,16.75589783,168.4012434,61.13399318,198.5179391,35.18695769,30.39339281,18.08354624,10.06322951,11.95585363,23.88591581,18.49716114,19.3192453,24.76214519,20.27989168,18.75057226,17.6905728,21.07732461,10573.76855,2138.263672,13817.96582,3.673326492,3.731124163,0.725491107,3.36218214,3.396899939,0.621879339,-1.118106684,3.644639488,-1.482890792,3.349266125,3.449127659,24.50098057,-0.524716034,2.067148521,0.440196703,2.186592327,0.469100053,9.054289012,81.55304787,562.0818983,433.6180209,0.636290076,0.166984512,0.187162975,1.878509453,0.9931,1.036,0.411,0.9679,0.2212
2225.928571,306.5,5506.651815,0.740390204,0.798422165,0.181920989,33.37438472,19.64378901,41.47638757,0.5,1.802775638,0.62587002,0.683333333,0.195733458,62.77373953,21.46111836,96.28030185,33.9993561,17.03006506,60.28474318,0.102698851,0.296076174,0.849443966,324.3961243,63.69848481,754.3626366,0.87640402,0.956843941,0.184639893,266.041235,275.2602513,189.3672223,171.2630816,118.6178571,130.7809738,361.6971814,376.9574154,149.1567592,13.80505957,1.867358727,28.32639956,17.99602551,1.083833392,47.05432064,23.49737389,3.005978285,54.57842089,3.991932605,1.213380012,8.14036072,0.558504776,0.575082073,0.211787207,3.928571429,8.963929987,26.09711583,18.79162147,18.05565606,153.1459253,21.46111836,380.3106923,23.61021106,18.59939452,14.14875185,6.977518323,15.36377452,19.89776706,13.73139497,50.79586956,20.45014012,20.48473019,51.01511998,7.376999929,14.71760186,9707.033203,1038.814819,24280.05859,3.12509203,3.301311493,1.270538926,2.841307163,3,1.261810303,-1.704389227,2.812874806,-1.49858598,7.026197258,5.150702576,57.27971258,-0.033665362,2.128556467,0.327421862,2.902328093,0.108338432,12.95426099,-5.62985367,564.9241785,418.7330969,0.671262183,0.157109583,0.173107582,1.881941705,0.9931,1.036,0.411,0.9679,0.2212
1653.913043,370,4797.238634,0.773429142,0.835818241,0.204788611,32.25503866,21.70480665,32.64107798,0.695652174,1.231287153,0.628147419,0.678571429,0.166684178,58.9726836,29.22421826,87.70279241,23.3376508,16.63096256,21.17226615,0.454566843,0.650406476,0.947039713,211.434897,73.69848481,482.7824442,0.878064532,0.941548183,0.12498699,334.6587491,370.25,115.4023627,329.3861882,342.2834646,102.7215362,485.5666216,488.5636999,92.66182967,11.8754949,3.818559411,26.88792482,11.79982513,3.66340694,31.06979258,17.01715315,5.004983523,40.97526403,2.422444451,1.253592479,3.803956511,0.529741216,0.533024529,0.236493887,3.043478261,6.918646895,30.85585816,22.11825752,21.11747383,99.1628975,29.22421826,255.6024243,30.53246271,22.11825752,21.13328328,4.414437592,9.353299404,30.34450221,44.85724564,48.39407959,30.30871231,45,49.04654354,6.859767594,14.68474036,8522.668945,1334.418701,27665.99805,3.565513611,3.405948162,1.031454325,3.215841293,3,0.996142805,-1.217237226,15.69957335,-0.707727669,16.89446294,1.982544918,531.8994811,-0.33145978,4.077790881,-0.281639458,4.281711069,0.18918637,34.96142815,-50.98419283,458.9367166,383.5263047,0.549209797,0.190810594,0.281138448,1.893649206,0.9931,1.036,0.411,0.9679,0.2212
2139,1044.5,2431.855156,0.724664753,0.782268368,0.24458799,43.79064552,34.65233491,28.38729912,0.625,0.695970545,0.545970676,0.642981501,0.271495413,133.8887571,47.80596759,145.6128544,32.39251668,30.62407925,16.44311374,0.227094831,0.306802561,0.821659522,377.9733944,160.882251,421.6799866,0.746367525,0.891001333,0.260996913,149.8222741,126.180693,116.0929322,392.7269292,421.2504715,89.13069546,434.8917653,455.9921244,94.72147074,19.51599024,3.935717625,26.69720931,50.83542982,29.34987144,53.68558025,55.27743998,29.59698217,59.19798933,5.406796329,1.999895242,5.972019846,0.50007553,0.549396439,0.366733311,3.625,3.838538133,37.4185975,29.75268203,25.6113778,168.2718026,65.65268203,197.6952306,32.08430263,24.10022119,26.49400966,20.71132972,24.83118972,27.3675033,18.40995658,38.18762907,29.94135541,15.30156006,39.03876749,15.93432698,19.3068837,7945.692383,4376.549316,8918.510742,3.617931843,3.564218998,0.440346241,3.298837662,3.298449993,0.423443943,-0.693779555,-0.481597941,-0.993565232,-0.819190759,1.46850194,0.903010076,0.81258155,1.156158285,-0.603443935,0.802733061,1.024433357,1.981082347,14.70238641,524.4184933,303.5904039,0.815392403,0.106223036,0.145917184,1.862132374,0.9931,1.036,0.411,0.9679,0.2212
1971.142857,485,3365.450897,0.76605882,0.803340207,0.197066091,37.32677638,24.84997342,33.41330272,0.619047619,1.045452305,0.601108535,0.647863248,0.185596467,67.38845927,43.95481842,73.07458132,31.80936132,16.53536985,34.35229006,-0.136234399,-0.347559652,1.03014251,272.9433242,99.39696962,426.0044118,0.850264424,0.930902111,0.169909625,368.8336007,361.1091954,77.14986632,268.2496959,314.9130435,134.2710474,470.6338217,459.8130305,102.3755158,17.08632606,4.154201092,29.32518095,11.55610429,3.969391699,20.24235866,21.32019369,5.734495503,35.22292929,3.231236554,1.581967653,4.386688099,0.509196402,0.411926346,0.259413108,3.571428571,5.482191329,34.69119093,32.5,22.42006763,132.1081844,43.95481842,221.0511808,33.87008916,29,22.43752596,4.790190977,10.19798079,12.68730368,0,53.82296966,11.85367824,6.995793319,54.5311851,12.36449774,22.24831803,9691.679688,1569.124268,17756.03516,3.556697369,3.423786402,1.226047635,3.217423677,3,1.113770247,-0.994686578,2.546649573,-1.002175964,7.162532917,1.993758053,57.78730184,-0.153138664,2.033846123,-0.537280653,2.739315569,0.31212195,11.64037984,79.3146281,530.9404789,344.2352182,0.761342484,0.22483298,0.293059017,1.888935419,0.9931,1.036,0.411,0.9679,0.2212
1911.266667,594,3901.381148,0.923115209,0.94797973,0.067766669,38.48205726,27.50098707,30.86473019,0.666666667,0.869226987,0.500159371,0.586956522,0.214746723,100.1763893,48.91865707,120.8547409,26.36292114,17.25657952,26.2085834,0.923780362,1.160584861,0.499289768,331.2867458,110.5269119,625.4473787,0.789545015,0.859747546,0.195028487,315.7243328,389.0732759,159.2997354,251.9283043,236.4760849,164.9725403,417.5223669,458.996636,203.5120211,23.44897741,5.174648575,54.20304675,15.84510563,4.806829677,32.78638223,28.75441414,6.827804759,63.14287544,4.698945633,2.039405239,7.955237824,0.291436667,0.239583464,0.172047224,3.2,6.949340496,60.47583323,42.5862069,61.10692291,152.5645305,48.91865707,296.3773988,59.36453055,43,61.57719575,5.924563562,11.96537654,49.16769127,63.96625672,32.17837842,48.25712078,63.96625672,35.89730098,6.095168936,14.13259043,7285.154297,2233.20166,15487.05176,3.381263971,3.435992002,0.705405593,3.079173326,3,0.671931148,-0.797610647,9.238131781,-1.493169639,8.272348481,2.865738316,153.7748282,-0.685615487,3.28871081,0.092880153,3.098094865,0.478695319,20.41381058,44.56664125,652.7024391,299.1445562,0.888788851,0.110656513,0.194995375,1.858001603,0.9931,1.036,0.411,0.9679,0.2212
2180.944444,402.5,3665.635908,0.818398535,0.906454094,0.191084955,38.67375213,22.63778321,35.79393255,0.611111111,1.112499133,0.538721298,0.554784349,0.192919241,81.19287564,40.88128527,92.10352249,32.30538856,14.0466563,36.67940687,-0.046845382,-0.094884435,1.120715504,310.5301545,92.13351365,468.4900056,0.813956184,0.919492059,0.198235331,287.5551361,272.9484501,124.0641031,273.5611736,302.3067846,144.4893094,420.8006935,460.4685655,129.3039465,15.92380552,3.009768958,30.92476128,14.7855853,2.632613292,30.38785079,22.58309832,5.069568226,42.91791143,3.786729621,1.690977082,4.707946014,0.428425422,0.361433582,0.258035814,4.222222222,6.595920924,36.47908041,31.13235294,29.1791557,148.6306253,40.88128527,241.396142,34.54729194,26.5,29.47395784,6.841094058,13.0861181,0.031936558,1.856149341,55.99280889,2.450899998,1.80299843,57.11917553,14.19810885,23.33623756,10354.19238,1167.474487,18809.08398,3.355330229,2.969992161,1.248047829,3.064772129,2.900000095,1.102146983,-0.842341125,6.47672783,-1.206814963,3.443022293,2.165940925,53.8024059,0.075126435,2.707777846,-0.11984479,2.274411803,0.020006755,12.50500991,63.88633725,545.4332689,496.4357149,0.414240093,0.157378009,0.189517336,1.886531309,0.9931,1.036,0.411,0.9679,0.2212
2044.777778,1537,2185.562616,0.925755809,0.954331645,0.057096029,43.23920339,44.23764438,27.08990988,0.777777778,0.628539361,0.4446074,0.429118774,0.209564755,112.7363406,94.07841482,94.83323013,29.91880849,23.38624885,19.59158356,0.045786855,0.050036094,0.911011247,330.5122813,266.5512986,322.340044,0.722286556,0.668850669,0.19768777,216.9717235,249.4624277,134.1170336,237.5925282,257.9710983,163.0616875,380.3481422,390.9277269,58.64061369,29.23420698,8.610335271,33.36513992,21.62492227,7.250502635,28.08402886,39.73054529,28.15573388,40.5672914,4.415643978,3.678560251,3.821679263,0.268858482,0.22110777,0.161356611,3.222222222,2.897423291,49.42153216,38.5237766,39.23535759,151.9725022,116,151.5432656,43.52805773,28.52453731,40.55284419,16.56937575,21.79539526,-4.199526962,-3.161578862,41.30163716,-8.012214464,-3.161578862,46.25964082,21.34521522,25.95846807,8195.740234,5542.639648,9481.334961,3.344556093,3.441705942,0.767654955,3.108699799,3.196899891,0.80554229,-1.288219502,-1.0832733,-1.656076447,1.257951046,4.402098685,2.755921877,-0.482062219,0.758769604,0.131426014,1.570874485,0.24965678,3.043377958,-56.55880413,590.6226649,253.5557602,0.903160784,0.090290452,0.160670165,1.86681296,0.9931,1.036,0.411,0.9679,0.2212
1904.608696,522,3329.480397,0.86131119,0.879670343,0.10890481,39.44075728,25.78043914,29.48643372,0.739130435,0.605582099,0.506983338,0.52688172,0.182392517,83.19795227,44.68426768,77.59745599,35.79189336,21.6147637,36.23716764,-0.21205147,-0.079539921,0.71781268,342.0706222,112.5685425,577.5106448,0.741946686,0.782747604,0.208491128,264.9382118,286.5271868,138.7346197,185.3738421,163.2913907,135.2717547,353.9546666,358.4393924,129.6825111,11.6040457,4.138428526,27.5357514,8.297970895,4.043646989,16.87983593,15.08038584,5.487844326,31.92551686,5.023981167,1.964460283,7.997853132,0.347882717,0.379323431,0.172942679,4.391304348,9.540481851,48.30901806,37.33333333,38.26176988,157.5285358,47,284.259559,46.37636192,33.26270799,38.71554551,6.474438424,10.90894927,-11.13500756,0,33.55883093,-12.72642126,0,36.49142859,12.8925695,20.915208,7022.352051,1810.766113,12172.61816,3.264162064,3.341333151,0.71444267,2.963936806,3,0.633752704,-0.734788896,14.58982645,-1.327062258,14.47897016,2.30100896,422.5036127,-0.449120279,3.936928368,0.302381661,3.868182245,0.293143694,30.46223885,-8.399399658,556.0477908,476.1563184,0.516441204,0.187500803,0.21653337,1.861617348,0.9931,1.036,0.411,0.9679,0.2212
1828.6,1042.5,2217.888825,0.895771125,0.951551356,0.103172893,40.71068301,35.86325515,25.90146946,0.8,0.6,0.472484684,0.415019769,0.225580588,100.2813659,72.20980968,88.02227255,27.95126733,21.1536614,18.71611105,0.333609915,0.388856168,0.871570889,309.4764861,177.0954544,341.7019337,0.781251739,0.863325826,0.192879398,180.0318873,96.95541512,183.8809026,280.647796,320.0891981,169.0315992,346.9826402,364.6778581,230.5679535,11.21982391,7.17125123,12.58548076,28.60089139,9.132888549,36.88644994,31.83481989,10.43795571,38.07156675,4.265801574,2.43546462,4.156075564,0.327017772,0.268833586,0.216740642,3.2,3.515679166,38.61749954,37.45315374,14.9329203,137.5785252,78.99395156,159.8533109,31.17852518,32.31040009,14.05813557,16.74895049,20.65477816,22.61376734,19.3354523,37.1859841,32.67268185,49.24217728,42.14023581,24.17776399,27.81889209,7042.274902,4009.549316,8771.636719,3.436049938,3.674935818,0.678449929,3.178760052,3.298449993,0.567944288,-1.076974461,1.73289766,-1.440152061,2.316695507,3.233911947,8.37001237,0.783627908,1.565365214,-0.261222002,1.795728725,0.682309632,5.675009907,35.16371709,638.5605229,336.1413354,0.850234067,0.072723368,0.113830754,1.870350325,0.9931,1.036,0.411,0.9679,0.2212
